latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
30.896309,75.83432,252.0,19800,Asia/Kolkata,GMT+5:30

time,temperature_2m_mean (°C),temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_mean (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),wind_speed_10m_max (km/h),wind_gusts_10m_max (km/h),wind_direction_10m_dominant (°)
2025-01-11,11.3,15.4,7.8,10.2,14.4,6.4,12.9,33.8,105
2025-01-12,12.3,16.1,9.9,11.2,15.2,8.3,15.5,36.0,77
2025-01-13,12.4,17.9,8.5,11.1,16.7,6.7,11.4,28.4,315
2025-01-14,11.5,17.4,7.4,10.2,16.4,5.3,9.6,19.8,304
2025-01-15,10.7,16.8,5.2,10.1,17.3,3.7,9.1,18.4,137
2025-01-16,12.3,17.2,9.1,11.3,16.5,7.5,9.8,26.3,148
2025-01-17,10.9,16.9,7.0,9.4,15.7,4.8,11.3,29.5,304
2025-01-18,12.0,16.8,8.6,11.7,16.9,6.8,10.4,20.9,285
2025-01-19,13.8,19.5,9.9,13.7,19.7,9.3,9.2,17.3,328
2025-01-20,14.9,20.3,11.6,14.2,20.2,10.4,11.6,23.0,300
2025-01-21,13.6,19.2,9.2,12.8,19.1,7.2,10.5,20.2,298
2025-01-22,14.0,20.9,8.2,13.5,20.8,6.5,8.5,17.3,299
2025-01-23,13.5,19.4,8.2,12.3,18.0,6.7,11.4,26.6,300
2025-01-24,12.9,18.9,7.4,11.1,17.3,5.3,10.9,25.2,294
2025-01-25,12.8,19.2,7.1,10.7,17.3,4.6,8.9,23.4,292
2025-01-26,12.7,20.0,6.1,10.5,17.5,3.6,10.3,27.7,295
2025-01-27,13.2,20.6,6.1,11.2,18.3,4.1,9.4,23.8,300
2025-01-28,14.0,22.0,7.2,12.4,19.8,5.3,8.8,20.2,294
2025-01-29,14.8,21.5,9.4,13.6,20.2,7.6,13.3,34.6,124
2025-01-30,15.3,22.3,9.8,14.8,22.1,8.5,8.5,16.2,104
2025-01-31,15.5,22.3,9.4,14.9,21.9,8.6,10.9,24.8,139
2025-02-01,14.6,20.4,10.2,14.4,19.9,9.5,6.9,22.3,38
2025-02-02,14.4,21.0,9.5,13.5,20.1,8.1,11.4,27.4,302
2025-02-03,13.8,20.9,8.6,13.2,20.5,7.2,8.9,16.9,298
2025-02-04,14.1,20.1,10.0,13.2,18.8,9.2,14.8,41.4,328
2025-02-05,13.2,19.1,8.2,12.5,18.9,7.4,9.6,21.2,309
2025-02-06,13.2,19.7,8.0,11.4,17.6,6.6,14.9,37.4,305
2025-02-07,12.6,18.7,7.3,10.2,16.5,4.3,11.9,32.4,303
2025-02-08,13.9,20.5,8.6,12.2,18.5,6.2,10.5,25.2,301
2025-02-09,15.3,22.5,8.9,14.4,21.7,7.6,8.1,24.1,304
2025-02-10,16.6,23.9,10.6,15.9,22.9,9.2,7.6,20.9,312
2025-02-11,17.1,24.1,10.4,15.9,23.4,9.5,12.4,28.4,331
2025-02-12,16.4,22.9,11.1,14.6,20.8,9.5,14.5,37.1,302
2025-02-13,15.1,21.8,8.9,12.9,19.4,6.5,12.4,32.8,306
2025-02-14,15.3,22.2,8.9,13.6,20.2,6.9,9.7,28.1,314
2025-02-15,16.2,22.3,11.5,15.3,21.6,9.4,10.3,23.8,330
2025-02-16,16.1,22.2,10.7,15.9,21.5,10.2,5.2,16.2,325
2025-02-17,17.3,24.6,11.2,16.9,24.3,10.5,8.0,23.0,301
2025-02-18,18.0,25.1,12.4,17.3,24.2,11.4,10.7,29.2,302
2025-02-19,17.5,25.4,10.8,16.6,24.0,9.9,12.2,34.6,305
2025-02-20,15.6,20.2,13.1,14.9,17.9,11.9,19.9,47.5,111
2025-02-21,15.3,21.2,9.9,15.3,22.3,9.4,11.2,23.4,308
2025-02-22,16.1,21.8,11.4,15.7,21.5,10.4,11.8,31.0,298
2025-02-23,17.1,23.3,11.3,16.8,23.1,10.5,9.1,26.6,302
2025-02-24,18.2,25.5,11.5,17.5,24.3,10.4,10.5,29.9,309
2025-02-25,18.0,22.2,13.8,17.9,21.5,13.0,9.9,29.2,351
2025-02-26,21.0,26.6,16.6,20.3,25.9,14.7,18.4,46.8,123
2025-02-27,17.8,21.0,16.5,17.0,20.3,14.7,19.6,46.1,123
2025-02-28,16.5,19.0,14.6,15.8,18.5,13.7,24.0,50.8,153
2025-03-01,17.0,23.0,11.8,17.5,25.1,11.6,11.5,25.6,69
2025-03-02,16.0,21.8,11.4,15.3,21.2,10.3,12.8,33.1,295
2025-03-03,15.8,21.4,10.0,15.4,20.4,8.8,11.7,30.2,102
2025-03-04,15.8,21.5,11.6,14.8,21.6,9.8,17.3,42.5,315
2025-03-05,14.6,20.9,9.2,12.3,18.6,6.3,18.4,45.0,307
2025-03-06,16.0,23.6,9.4,14.9,22.8,6.8,10.9,27.7,304
2025-03-07,17.8,25.5,10.4,17.1,23.7,9.7,13.7,37.1,308
2025-03-08,19.6,27.1,12.7,19.4,26.7,12.0,11.2,32.0,322
2025-03-09,20.7,30.1,12.1,20.0,29.2,12.1,10.1,20.9,82
2025-03-10,23.9,31.1,18.0,23.2,30.4,17.6,12.1,33.5,114
2025-03-11,22.1,29.9,16.2,23.2,31.6,16.5,10.3,22.3,310
2025-03-12,22.3,29.0,16.6,22.9,29.0,16.6,12.6,33.8,303
2025-03-13,20.9,27.7,16.1,21.8,28.8,17.7,12.0,34.9,320
2025-03-14,20.9,29.5,14.3,21.1,29.6,14.5,16.0,31.3,85
2025-03-15,19.0,23.4,14.8,19.6,24.5,14.3,15.0,38.9,18
2025-03-16,18.9,25.7,12.2,19.2,26.4,12.6,11.9,31.0,309
2025-03-17,20.0,26.5,12.4,19.7,25.7,12.7,11.2,31.0,308
2025-03-18,21.2,28.8,13.9,20.7,27.6,13.1,14.5,38.2,313
2025-03-19,22.4,30.0,16.5,22.2,29.4,17.3,13.7,38.9,327
2025-03-20,22.7,29.2,16.4,21.6,28.1,15.6,13.0,34.2,329
2025-03-21,22.0,29.0,15.2,21.4,29.1,14.4,13.3,35.3,305
2025-03-22,22.6,30.3,15.4,22.6,30.7,14.8,10.2,20.2,299
2025-03-23,23.7,31.9,15.9,23.3,31.9,14.8,10.2,25.6,44
2025-03-24,24.5,32.5,15.9,24.5,32.9,16.1,10.7,22.0,38
2025-03-25,25.1,33.4,17.5,25.3,34.1,17.3,11.7,25.2,55
2025-03-26,26.9,35.5,19.2,26.4,35.8,19.4,15.5,36.7,109
2025-03-27,28.0,35.8,21.3,26.2,34.4,19.2,17.1,43.9,201
2025-03-28,23.0,29.7,17.6,20.1,27.5,14.0,14.7,38.2,296
2025-03-29,20.7,29.5,11.9,17.4,25.6,8.6,17.1,44.3,312
2025-03-30,22.5,30.9,13.5,20.0,27.9,10.7,12.5,35.6,319
2025-03-31,23.6,32.2,15.0,21.7,29.0,13.7,16.9,44.3,325
2025-04-01,24.3,33.5,15.3,22.1,30.5,13.8,14.7,39.6,325
2025-04-02,25.0,34.7,15.6,23.5,32.8,15.2,17.7,39.6,17
2025-04-03,26.8,35.0,18.3,24.4,34.4,16.1,16.5,43.2,39
2025-04-04,26.8,35.2,17.9,25.2,33.9,15.9,15.9,40.0,325
2025-04-05,27.2,35.8,18.4,25.9,34.1,17.5,9.6,28.1,309
2025-04-06,29.0,38.2,19.7,28.4,37.8,19.3,13.1,32.0,355
2025-04-07,30.7,39.5,22.0,29.9,40.2,20.3,10.8,30.2,99
2025-04-08,32.1,40.0,24.5,30.6,39.0,22.7,16.8,43.6,127
2025-04-09,31.5,38.8,24.5,30.7,40.7,23.2,14.3,41.0,67
2025-04-10,29.1,35.0,24.1,29.3,36.2,24.3,17.3,47.2,124
2025-04-11,27.2,33.7,23.1,27.9,34.9,23.4,20.7,50.0,129
2025-04-12,24.7,30.4,20.2,26.1,32.2,22.4,15.0,40.7,136
2025-04-13,25.9,33.7,18.5,27.5,35.7,19.8,9.4,22.7,52
2025-04-14,28.0,35.5,20.2,29.2,38.2,21.6,13.4,28.4,119
2025-04-15,30.1,37.0,23.5,30.3,38.7,23.6,14.4,37.1,124
2025-04-16,31.3,38.1,23.8,31.5,39.4,24.2,14.5,34.6,118
2025-04-17,31.4,38.5,23.2,32.1,40.3,24.8,13.8,34.2,41
2025-04-18,30.2,39.0,24.2,31.3,41.3,24.5,14.4,48.2,128
2025-04-19,30.1,35.5,25.2,29.5,34.8,25.9,27.0,64.1,130
2025-04-20,30.4,37.0,24.7,29.3,35.1,23.7,25.5,66.2,124
2025-04-21,31.2,39.6,22.8,30.8,40.2,23.7,16.7,41.0,87
2025-04-22,30.9,38.3,22.5,29.8,37.6,21.8,12.0,34.9,339
2025-04-23,30.8,38.6,22.6,28.8,36.1,21.1,16.4,37.4,334
2025-04-24,31.1,38.9,22.6,29.0,37.3,21.3,14.8,35.3,2
2025-04-25,31.8,40.2,22.6,28.8,38.0,19.5,17.0,36.4,34
2025-04-26,32.3,40.5,23.4,29.6,38.3,21.2,23.4,56.9,350
2025-04-27,32.3,40.5,23.4,30.1,39.2,21.6,14.4,34.9,338
2025-04-28,32.4,40.8,23.8,30.5,40.4,21.0,14.0,34.2,117
2025-04-29,31.9,38.9,25.2,31.1,38.9,24.1,19.2,47.5,135
2025-04-30,32.8,39.7,25.8,32.5,40.7,26.0,16.8,43.2,132
2025-05-01,31.5,35.8,26.5,31.6,36.4,26.4,17.2,45.0,129
2025-05-02,27.8,30.8,24.6,28.9,32.4,24.6,21.6,51.8,137
2025-05-03,27.1,34.5,22.5,29.8,36.6,25.5,13.1,33.8,126
2025-05-04,27.2,32.7,22.0,29.0,33.4,23.4,20.6,53.6,116
2025-05-05,25.3,28.1,22.1,27.8,30.3,25.1,11.0,28.8,92
2025-05-06,27.8,34.8,21.4,30.2,37.8,24.0,9.7,29.9,107
2025-05-07,29.1,35.5,23.9,31.1,38.2,25.5,10.0,29.9,119
2025-05-08,28.5,35.2,23.3,31.0,37.9,25.6,15.2,42.5,145
2025-05-09,28.7,35.7,23.7,31.8,38.6,27.3,10.6,27.4,43
2025-05-10,29.3,34.5,24.1,32.4,36.9,27.8,11.4,28.4,10
2025-05-11,29.8,37.6,23.6,32.3,39.2,27.5,18.4,45.0,311
2025-05-12,30.0,36.8,23.8,31.4,38.1,26.6,19.0,48.6,358
2025-05-13,31.2,38.8,22.5,32.1,40.2,24.1,16.2,40.7,358
2025-05-14,32.3,40.0,23.9,32.7,39.7,25.4,16.4,41.4,322
2025-05-15,33.5,41.5,24.5,34.0,41.5,26.6,14.7,37.1,322
2025-05-16,34.0,41.3,26.5,34.0,42.5,27.0,13.8,41.0,80
2025-05-17,34.3,42.2,25.6,34.7,43.1,25.4,12.6,34.2,142
2025-05-18,34.8,42.4,26.8,36.0,44.0,28.7,16.4,42.1,149
2025-05-19,31.9,39.4,27.1,34.0,42.3,28.0,27.0,66.2,122
2025-05-20,34.3,42.4,25.5,35.5,43.9,26.5,17.5,45.0,132
2025-05-21,33.4,40.4,27.5,35.3,43.5,28.0,17.1,41.8,134
2025-05-22,32.4,39.0,26.0,34.2,40.6,27.0,20.6,50.8,136
2025-05-23,33.6,39.8,27.5,35.6,42.5,29.6,18.4,45.0,134
2025-05-24,32.1,38.7,25.3,33.9,40.4,28.2,18.1,58.3,123
2025-05-25,28.4,32.8,25.1,30.4,34.3,26.9,20.1,45.7,126
2025-05-26,30.2,36.2,23.4,34.3,40.6,27.5,7.9,18.4,58
2025-05-27,31.6,37.0,25.7,35.7,42.1,29.0,12.4,29.9,129
2025-05-28,33.3,40.4,27.0,36.1,43.1,29.9,17.3,45.0,230
2025-05-29,33.2,40.9,25.6,35.5,42.9,28.8,16.8,41.4,74
2025-05-30,31.0,37.8,26.5,33.2,40.1,28.7,18.0,37.4,124
2025-05-31,31.4,39.1,25.3,32.7,39.4,27.4,16.4,40.7,140
2025-06-01,31.6,38.8,24.8,31.8,39.6,23.6,16.9,42.5,11
2025-06-02,31.5,38.2,24.8,32.0,38.9,25.1,13.8,30.6,154
2025-06-03,29.3,36.3,22.5,29.8,37.4,21.9,17.1,51.1,156
2025-06-04,28.0,33.2,22.1,29.3,35.0,24.0,12.5,42.5,123
2025-06-05,30.3,37.0,23.1,31.6,38.7,25.5,9.9,25.9,144
2025-06-06,32.1,38.7,25.1,33.7,40.5,26.4,12.1,33.8,275
2025-06-07,34.3,40.6,26.6,36.6,42.9,28.9,13.6,36.4,188
2025-06-08,36.0,42.9,28.5,37.7,44.6,31.2,16.3,41.4,249
2025-06-09,36.7,44.2,28.5,37.4,45.6,29.7,14.3,37.1,265
2025-06-10,37.0,43.4,29.0,37.4,44.2,29.1,9.7,31.3,223
2025-06-11,37.5,44.9,29.3,39.5,46.7,32.0,12.5,37.4,198
2025-06-12,37.5,44.7,30.6,40.4,46.0,34.0,13.2,34.6,143
2025-06-13,35.9,42.3,31.5,39.5,45.9,36.0,18.9,50.4,137
2025-06-14,36.2,42.8,29.8,39.5,45.4,33.8,14.8,36.4,83
2025-06-15,34.5,39.5,31.8,37.9,42.5,35.3,14.0,37.4,125
2025-06-16,31.5,37.5,28.4,36.2,42.0,32.5,14.7,41.8,119
2025-06-17,28.5,31.0,25.8,33.1,35.5,29.4,9.5,22.3,71
2025-06-18,31.8,37.8,26.9,36.5,41.6,31.8,8.2,22.3,145
2025-06-19,32.9,37.8,27.6,37.7,42.6,32.7,11.3,25.9,147
2025-06-20,32.6,37.1,28.8,37.6,42.8,33.5,14.3,35.3,141
2025-06-21,32.7,37.6,28.3,38.0,42.9,34.0,12.4,31.3,135
2025-06-22,31.8,36.3,29.0,37.5,42.1,34.3,12.9,36.0,129
2025-06-23,30.1,34.4,25.4,36.3,41.1,29.4,13.4,36.4,126
2025-06-24,31.3,36.5,26.5,37.2,43.5,31.6,13.7,29.5,131
2025-06-25,29.9,33.0,27.5,35.6,38.6,33.2,15.0,37.8,129
2025-06-26,29.9,33.9,26.0,36.3,40.6,31.8,14.8,38.5,125
2025-06-27,30.7,34.2,26.0,37.7,41.7,31.4,10.4,22.3,100
2025-06-28,29.7,34.9,25.1,35.9,41.9,30.0,14.4,37.1,105
2025-06-29,28.3,33.3,24.7,34.4,40.6,29.0,13.9,29.2,126
2025-06-30,27.7,30.5,24.4,33.2,37.2,28.8,14.3,35.6,126
2025-07-01,28.2,32.8,24.7,33.8,39.5,29.2,17.3,41.4,120
2025-07-02,30.3,34.5,25.8,36.9,41.8,31.6,8.5,23.4,132
2025-07-03,30.3,33.9,26.9,36.8,41.9,32.6,10.7,29.9,129
2025-07-04,30.4,33.2,27.2,37.2,40.9,33.1,9.9,27.0,134
2025-07-05,30.6,34.8,26.1,37.6,43.3,31.9,14.7,26.6,118
2025-07-06,29.3,34.2,25.4,35.6,41.3,30.3,13.8,31.7,119
2025-07-07,30.0,34.5,26.3,37.1,43.4,31.7,10.0,31.0,161
2025-07-08,29.3,33.2,25.7,36.0,40.7,31.1,9.6,26.6,131
2025-07-09,28.5,31.0,25.8,35.0,37.5,31.2,11.5,24.8,214
2025-07-10,27.8,31.5,24.3,33.1,37.2,28.8,13.2,34.2,135
2025-07-11,29.1,32.8,25.0,35.1,39.0,30.9,7.4,17.3,128
2025-07-12,28.5,30.3,25.5,34.9,37.3,31.5,7.7,16.9,124
2025-07-13,29.7,33.3,25.9,36.2,40.3,30.8,12.0,33.1,133
2025-07-14,28.2,32.5,25.3,34.6,39.5,30.0,9.4,36.4,84
2025-07-15,28.9,32.5,26.7,34.3,38.5,30.3,18.5,48.2,106
2025-07-16,28.3,31.6,25.8,32.8,36.3,29.3,21.6,51.8,133
2025-07-17,28.9,32.2,26.5,34.3,36.9,31.9,17.8,40.7,134
2025-07-18,28.8,31.7,26.3,35.2,38.0,32.4,9.3,20.5,113
2025-07-19,30.0,34.0,26.2,36.2,40.3,32.5,10.3,27.4,124
2025-07-20,30.5,34.6,26.4,36.4,40.6,31.9,9.2,22.0,163
2025-07-21,28.2,30.1,26.1,33.9,35.9,32.4,12.1,33.1,143
2025-07-22,27.2,29.8,25.5,33.5,36.5,31.0,10.3,22.3,108
2025-07-23,28.8,32.8,24.6,35.8,40.4,30.9,9.0,24.5,171
2025-07-24,29.2,34.1,25.5,35.7,41.5,31.4,17.2,39.6,264
2025-07-25,30.3,34.3,25.9,37.3,41.9,31.3,8.4,23.4,289
2025-07-26,30.7,34.5,27.2,38.0,42.9,33.5,11.3,23.8,138
2025-07-27,31.0,34.2,28.0,38.6,41.8,35.6,7.6,22.0,131
2025-07-28,30.8,35.5,26.7,37.7,43.4,32.1,12.6,27.4,137
2025-07-29,29.0,32.7,26.2,35.1,40.7,31.8,14.0,29.9,125
2025-07-30,28.8,32.3,26.4,34.9,38.4,31.5,14.1,35.6,132
2025-07-31,27.8,30.5,26.4,33.7,37.3,31.7,12.6,35.3,118
2025-08-01,27.7,31.5,25.5,34.0,39.0,31.3,13.9,34.2,115
2025-08-02,28.0,32.2,25.5,34.6,39.8,31.4,13.8,33.1,85
2025-08-03,29.1,33.7,24.6,36.0,41.2,29.5,10.3,32.0,331
2025-08-04,29.0,33.4,25.2,35.5,41.6,30.2,10.3,27.4,120
2025-08-05,27.9,31.8,24.6,34.1,40.2,28.8,16.2,34.6,112
2025-08-06,27.4,32.8,24.1,32.9,40.4,28.0,12.7,27.0,109
2025-08-07,29.0,34.1,24.6,35.2,41.0,29.5,8.1,25.9,33
2025-08-08,30.8,35.6,26.5,37.2,42.4,32.3,8.2,22.3,162
2025-08-09,30.2,34.6,26.8,36.4,41.3,32.7,8.2,21.6,127
2025-08-10,30.8,35.0,26.4,37.3,42.0,32.0,7.5,23.0,163
2025-08-11,30.3,33.8,27.5,36.7,40.3,33.7,14.4,27.7,146
2025-08-12,28.6,32.0,26.0,35.2,40.3,31.3,15.2,31.0,149
2025-08-13,30.0,33.7,27.2,37.5,41.5,34.9,6.9,17.6,149
2025-08-14,27.4,29.2,26.0,33.8,36.1,31.3,11.7,24.1,122
2025-08-15,28.4,31.9,25.2,35.2,39.3,31.2,7.4,16.2,122
2025-08-16,28.8,32.4,26.2,35.8,40.8,32.4,8.2,22.0,122
2025-08-17,28.8,32.4,26.6,35.3,39.4,32.8,11.8,33.1,132
2025-08-18,28.2,30.7,26.0,34.5,37.8,31.0,11.6,31.0,114
2025-08-19,29.3,33.0,25.7,35.3,39.2,31.9,9.8,29.2,111
2025-08-20,28.0,31.8,23.6,33.9,37.9,26.5,17.2,36.0,117
2025-08-21,29.1,33.0,25.5,35.5,39.8,31.1,8.1,24.5,111
2025-08-22,29.6,33.2,26.1,36.7,41.1,32.6,9.5,19.4,131
2025-08-23,28.0,30.3,24.9,33.7,36.4,29.3,15.6,37.1,132
2025-08-24,26.7,30.0,24.5,32.3,36.3,29.1,10.9,30.2,92
2025-08-25,24.9,27.4,23.5,29.2,32.0,27.6,12.5,34.9,40
2025-08-26,26.6,28.4,23.8,31.1,34.0,27.9,23.6,51.5,130
2025-08-27,27.9,31.9,24.2,33.9,39.6,29.0,12.1,31.0,130
2025-08-28,28.7,32.7,26.0,35.2,39.5,31.7,11.0,25.6,126
2025-08-29,27.8,30.9,24.9,33.3,37.8,29.7,14.4,35.3,130
2025-08-30,27.2,29.6,25.0,32.5,35.8,29.0,15.7,37.8,117
2025-08-31,25.6,27.6,24.2,30.8,33.0,29.0,12.9,35.3,109
2025-09-01,24.8,27.0,23.7,28.9,31.0,27.0,19.2,37.8,107
2025-09-02,25.0,27.2,23.1,28.6,31.7,26.4,17.4,41.8,109
2025-09-03,26.3,29.6,23.5,30.5,34.2,26.5,21.2,47.5,124
2025-09-04,25.9,28.6,24.0,30.9,32.7,28.9,8.7,23.0,71
2025-09-05,27.8,32.8,23.0,33.4,39.2,27.4,8.2,19.1,338
2025-09-06,28.2,32.2,25.3,34.4,39.0,31.1,7.5,22.3,96
2025-09-07,28.0,32.1,25.1,34.7,40.1,31.0,7.2,26.3,104
2025-09-08,27.3,30.5,24.9,33.6,37.7,30.1,13.0,31.0,124
2025-09-09,28.4,32.2,24.9,34.7,38.5,31.2,9.4,22.3,287
2025-09-10,28.2,31.8,25.4,33.4,37.6,30.8,14.6,37.8,290
2025-09-11,28.1,31.9,24.6,33.4,37.5,29.3,10.1,25.9,266
2025-09-12,28.1,31.7,24.6,34.0,38.4,30.2,9.9,27.7,270
2025-09-13,28.8,33.2,24.6,35.1,39.7,30.4,9.9,26.3,205
2025-09-14,29.6,33.5,25.4,35.4,39.9,31.3,8.8,22.7,200
2025-09-15,29.8,34.3,25.2,34.9,39.7,30.4,9.9,24.8,167
2025-09-16,29.1,34.0,24.9,33.7,39.5,28.9,12.3,28.1,117
2025-09-17,30.2,35.3,25.0,35.1,40.1,29.4,8.9,26.6,202
2025-09-18,30.0,35.2,24.5,34.4,40.4,28.3,11.7,25.2,128
2025-09-19,29.5,35.2,25.2,34.2,39.6,29.9,12.4,33.1,282
2025-09-20,29.3,34.3,24.8,33.8,37.5,30.3,11.7,33.8,303
2025-09-21,29.8,35.2,24.5,34.4,38.8,29.6,14.0,37.8,287
2025-09-22,30.3,35.3,25.4,34.3,39.0,29.7,12.3,34.6,288
2025-09-23,30.4,36.0,24.9,33.3,38.1,28.1,14.6,38.9,286
2025-09-24,30.0,35.3,25.0,33.8,38.4,29.0,12.4,34.9,289
2025-09-25,30.3,35.8,24.9,33.9,39.0,29.0,12.7,33.1,293
2025-09-26,30.3,35.4,25.0,33.9,38.8,28.7,13.2,35.6,303
2025-09-27,30.9,36.8,24.5,35.1,40.6,29.3,8.1,23.0,48
2025-09-28,30.8,36.0,26.5,35.9,41.8,30.8,7.8,23.0,162
2025-09-29,30.9,36.0,26.1,35.7,40.3,31.8,9.2,23.0,333
2025-09-30,30.9,36.8,25.0,34.3,39.2,30.0,10.8,30.2,312
2025-10-01,29.5,34.4,24.6,33.0,36.6,27.5,13.3,31.0,315
2025-10-02,29.8,35.0,25.4,33.7,38.3,28.5,15.2,30.2,60
2025-10-03,28.1,32.7,22.0,32.0,37.2,23.9,15.7,41.0,53
2025-10-04,28.7,33.9,23.5,31.9,35.8,27.9,15.0,40.3,314
2025-10-05,25.4,30.2,21.2,28.3,33.7,21.5,22.2,50.0,205
2025-10-06,21.6,23.0,20.7,23.6,25.2,22.2,14.9,36.0,120
2025-10-07,19.9,22.0,17.7,22.2,24.1,20.4,13.6,36.0,59
2025-10-08,20.9,26.8,17.2,23.3,30.2,18.4,8.5,21.6,322
2025-10-09,22.7,27.9,18.2,25.1,30.0,20.9,8.6,22.3,291
2025-10-10,23.3,28.7,18.9,25.6,30.9,20.7,7.1,18.7,290
2025-10-11,24.2,30.2,19.8,25.9,30.9,21.6,12.1,29.9,303
2025-10-12,24.2,30.6,19.5,26.2,31.8,21.3,9.1,24.8,298
2025-10-13,24.3,31.0,18.5,26.1,31.9,20.8,7.4,22.0,290
2025-10-14,25.1,31.4,19.3,27.0,32.6,21.6,5.8,20.5,264
2025-10-15,25.5,31.6,20.2,27.3,32.8,22.4,6.8,16.2,174
2025-10-16,25.8,31.9,20.6,27.7,33.4,22.7,7.0,22.7,311
2025-10-17,25.9,32.2,20.2,27.5,33.1,22.7,8.3,24.8,312
2025-10-18,25.9,32.7,20.0,27.4,33.5,22.0,7.7,23.4,314
2025-10-19,25.9,32.8,19.6,27.7,34.4,22.5,7.2,20.9,335
2025-10-20,25.8,32.8,19.4,27.4,33.7,22.3,7.5,17.3,350
2025-10-21,25.8,31.5,20.1,27.1,31.9,22.7,8.8,17.6,63
2025-10-22,25.3,31.8,20.2,25.7,31.4,22.1,11.6,29.9,305
2025-10-23,24.5,31.4,18.8,25.1,31.1,19.3,7.7,22.3,284
2025-10-24,24.7,32.2,18.6,25.7,32.6,20.7,11.8,28.8,77
2025-10-25,24.6,32.0,19.1,26.0,33.1,20.4,7.4,21.2,311
2025-10-26,23.8,30.7,17.8,25.2,31.7,19.2,8.7,18.7,31
2025-10-27,23.7,30.6,17.7,24.9,30.9,18.9,7.6,22.3,46
2025-10-28,23.6,30.0,18.8,24.7,30.9,19.9,8.5,20.9,151
2025-10-29,23.8,29.8,18.0,25.0,29.9,20.1,10.8,31.0,337
2025-10-30,24.4,31.0,18.5,26.4,32.5,20.9,6.2,14.8,282
2025-10-31,24.9,31.0,19.9,26.3,31.4,22.2,12.2,31.0,321
2025-11-01,24.3,30.4,18.8,25.0,29.8,20.7,11.9,30.2,303
2025-11-02,23.6,30.2,18.5,24.1,28.8,19.8,14.1,37.1,305
2025-11-03,23.0,30.1,17.4,24.4,30.2,19.2,8.6,23.8,310
2025-11-04,23.2,30.5,17.5,22.3,27.8,17.4,18.0,39.6,144
2025-11-05,21.8,27.5,17.5,20.8,26.7,16.3,14.4,35.6,338
2025-11-06,19.4,26.9,13.6,18.2,24.9,12.5,12.0,31.0,297
2025-11-07,19.8,27.5,14.1,18.1,24.9,12.9,10.2,28.4,293
2025-11-08,19.6,27.2,13.4,17.8,24.4,12.1,10.3,27.7,300
2025-11-09,19.3,26.4,13.6,17.6,23.5,12.2,9.7,27.7,306
2025-11-10,18.9,26.7,12.4,17.6,24.2,11.8,8.9,24.5,305
2025-11-11,19.1,26.6,12.4,17.6,24.0,11.8,11.5,30.2,309
2025-11-12,18.7,26.3,12.4,17.4,23.7,11.6,9.5,26.6,307
2025-11-13,18.2,25.9,11.9,16.7,23.3,10.9,11.3,29.9,306
2025-11-14,18.1,26.0,11.6,16.6,23.5,10.2,10.8,27.7,301
2025-11-15,18.4,26.1,11.6,17.0,23.6,10.9,11.5,30.2,311
2025-11-16,18.1,25.9,11.9,17.0,23.3,11.3,10.9,29.2,309
2025-11-17,17.7,25.5,11.4,16.9,23.9,10.8,6.7,19.1,286
2025-11-18,17.9,25.8,11.4,17.2,23.6,11.3,9.1,22.7,325
2025-11-19,17.8,25.5,11.5,17.6,24.7,11.1,3.6,14.0,235
2025-11-20,18.3,25.9,11.9,18.2,25.5,12.2,6.8,12.2,74
2025-11-21,18.5,25.8,12.5,18.0,25.0,11.7,7.4,16.6,104
2025-11-22,17.6,24.1,11.9,17.0,22.8,11.6,7.0,21.2,300
2025-11-23,17.0,23.8,11.5,16.5,22.4,11.3,9.4,22.7,304
2025-11-24,16.6,23.4,10.5,15.4,21.2,9.6,10.3,23.8,304
2025-11-25,15.9,22.9,10.2,14.6,20.8,8.8,10.3,27.7,304
2025-11-26,15.5,22.5,9.6,14.6,20.9,8.4,8.2,21.6,308
2025-11-27,15.5,22.9,8.9,14.9,21.7,8.2,4.0,15.1,335
2025-11-28,15.8,23.2,9.9,14.5,21.3,8.7,9.7,23.4,299
2025-11-29,15.3,23.0,9.4,13.4,20.4,7.8,11.1,24.5,302
2025-11-30,14.6,22.0,8.6,12.4,18.8,6.2,10.1,26.6,296
2025-12-01,14.3,22.0,8.6,12.9,19.9,7.7,5.5,14.4,282
2025-12-02,13.9,21.5,6.9,12.2,19.1,5.5,8.8,19.8,316
2025-12-03,13.9,21.5,7.5,12.1,18.8,5.8,11.1,29.5,299
2025-12-04,13.8,20.8,8.4,11.9,18.2,6.4,10.7,29.2,295
2025-12-05,13.9,21.5,7.1,12.2,19.1,5.5,11.0,27.4,300
2025-12-06,14.2,21.0,8.2,12.2,18.0,6.1,13.7,34.6,296
2025-12-07,15.3,23.4,8.2,13.8,20.8,6.7,11.1,28.4,295
2025-12-08,15.9,23.5,9.9,14.1,20.9,8.1,13.4,32.8,299
2025-12-09,15.1,23.0,8.8,13.4,20.4,6.9,11.0,28.8,294
2025-12-10,15.6,23.2,9.9,14.3,20.9,8.2,10.2,28.4,291
2025-12-11,15.2,23.0,9.3,14.5,21.3,8.1,9.7,25.6,294
2025-12-12,14.9,22.6,8.2,14.6,22.1,6.8,6.5,17.6,274
